CMDLINE python cli.py
MEM 21.707031 1775679329.8841
MEM 21.707031 1775679329.9844
MEM 21.707031 1775679330.0846
MEM 21.707031 1775679330.1848
MEM 21.707031 1775679330.2851
MEM 21.707031 1775679330.3854
MEM 21.707031 1775679330.4856
MEM 21.707031 1775679330.5859
MEM 21.707031 1775679330.6862
MEM 21.710938 1775679330.7864
MEM 21.710938 1775679330.8867
MEM 21.710938 1775679330.9870
MEM 21.710938 1775679331.0872
MEM 21.710938 1775679331.1875
MEM 21.710938 1775679331.2878
MEM 21.710938 1775679331.3881
MEM 21.710938 1775679331.4883
MEM 21.710938 1775679331.5886
MEM 21.710938 1775679331.6893
MEM 21.710938 1775679331.7896
MEM 21.710938 1775679331.8898
MEM 21.710938 1775679331.9901
MEM 21.710938 1775679332.0904
MEM 21.710938 1775679332.1907
MEM 21.710938 1775679332.2909
MEM 21.710938 1775679332.3912
MEM 21.710938 1775679332.4914
MEM 21.710938 1775679332.5916
MEM 21.710938 1775679332.6918
MEM 21.710938 1775679332.7920
MEM 21.710938 1775679332.8922
MEM 21.710938 1775679332.9925
MEM 21.710938 1775679333.0931
MEM 21.710938 1775679333.1934
MEM 21.710938 1775679333.2936
MEM 21.710938 1775679333.3939
MEM 21.710938 1775679333.4942
MEM 21.710938 1775679333.5944
MEM 21.710938 1775679333.6948
MEM 21.710938 1775679333.7950
MEM 21.710938 1775679333.8952
MEM 21.710938 1775679333.9954
MEM 21.710938 1775679334.0958
MEM 21.710938 1775679334.1960
MEM 21.710938 1775679334.2963
MEM 21.710938 1775679334.3966
MEM 21.710938 1775679334.4968
MEM 21.710938 1775679334.5970
MEM 21.710938 1775679334.6973
MEM 21.710938 1775679334.7975
MEM 21.710938 1775679334.8978
MEM 21.710938 1775679334.9981
MEM 21.710938 1775679335.0983
MEM 21.710938 1775679335.1985
MEM 21.710938 1775679335.2988
MEM 21.710938 1775679335.3990
MEM 21.710938 1775679335.4993
MEM 21.710938 1775679335.5996
MEM 21.710938 1775679335.6999
MEM 21.710938 1775679335.8001
MEM 21.710938 1775679335.9004
MEM 21.710938 1775679336.0007
MEM 21.710938 1775679336.1010
MEM 21.710938 1775679336.2012
MEM 21.710938 1775679336.3015
MEM 21.710938 1775679336.4018
MEM 21.714844 1775679336.5020
MEM 21.714844 1775679336.6023
MEM 21.714844 1775679336.7025
MEM 21.714844 1775679336.8028
MEM 21.714844 1775679336.9031
MEM 21.714844 1775679337.0034
MEM 21.714844 1775679337.1036
MEM 21.714844 1775679337.2039
MEM 21.714844 1775679337.3041
MEM 21.714844 1775679337.4043
MEM 21.714844 1775679337.5045
MEM 21.714844 1775679337.6048
MEM 21.714844 1775679337.7050
MEM 21.714844 1775679337.8053
MEM 21.714844 1775679337.9055
MEM 21.714844 1775679338.0057
MEM 21.714844 1775679338.1059
MEM 21.714844 1775679338.2062
MEM 21.714844 1775679338.3064
MEM 21.714844 1775679338.4066
MEM 21.714844 1775679338.5069
MEM 21.714844 1775679338.6072
MEM 21.714844 1775679338.7075
MEM 21.714844 1775679338.8078
MEM 21.714844 1775679338.9081
MEM 21.714844 1775679339.0083
MEM 21.714844 1775679339.1086
MEM 21.714844 1775679339.2089
MEM 21.714844 1775679339.3091
MEM 21.714844 1775679339.4094
MEM 21.714844 1775679339.5097
MEM 21.714844 1775679339.6099
MEM 21.714844 1775679339.7102
MEM 21.714844 1775679339.8105
MEM 21.714844 1775679339.9107
MEM 21.714844 1775679340.0110
